 >TARCYLCAP  cylinder with end-caps: Length= 20.0000 Diameter=  8.0000
      1320 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -10.50000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
    860  20  -2   3 1 1 1
    861   1  -1   3 1 1 1
    862   2  -1   3 1 1 1
    863   3  -1   3 1 1 1
    864   4  -1   3 1 1 1
    865   5  -1   3 1 1 1
    866   6  -1   3 1 1 1
    867   7  -1   3 1 1 1
    868   8  -1   3 1 1 1
    869   9  -1   3 1 1 1
    870  10  -1   3 1 1 1
    871  11  -1   3 1 1 1
    872  12  -1   3 1 1 1
    873  13  -1   3 1 1 1
    874  14  -1   3 1 1 1
    875  15  -1   3 1 1 1
    876  16  -1   3 1 1 1
    877  17  -1   3 1 1 1
    878  18  -1   3 1 1 1
    879  19  -1   3 1 1 1
    880  20  -1   3 1 1 1
    881   1   0   3 1 1 1
    882   2   0   3 1 1 1
    883   3   0   3 1 1 1
    884   4   0   3 1 1 1
    885   5   0   3 1 1 1
    886   6   0   3 1 1 1
    887   7   0   3 1 1 1
    888   8   0   3 1 1 1
    889   9   0   3 1 1 1
    890  10   0   3 1 1 1
    891  11   0   3 1 1 1
    892  12   0   3 1 1 1
    893  13   0   3 1 1 1
    894  14   0   3 1 1 1
    895  15   0   3 1 1 1
    896  16   0   3 1 1 1
    897  17   0   3 1 1 1
    898  18   0   3 1 1 1
    899  19   0   3 1 1 1
    900  20   0   3 1 1 1
    901   1   1   3 1 1 1
    902   2   1   3 1 1 1
    903   3   1   3 1 1 1
    904   4   1   3 1 1 1
    905   5   1   3 1 1 1
    906   6   1   3 1 1 1
    907   7   1   3 1 1 1
    908   8   1   3 1 1 1
    909   9   1   3 1 1 1
    910  10   1   3 1 1 1
    911  11   1   3 1 1 1
    912  12   1   3 1 1 1
    913  13   1   3 1 1 1
    914  14   1   3 1 1 1
    915  15   1   3 1 1 1
    916  16   1   3 1 1 1
    917  17   1   3 1 1 1
    918  18   1   3 1 1 1
    919  19   1   3 1 1 1
    920  20   1   3 1 1 1
    921   1   2   3 1 1 1
    922   2   2   3 1 1 1
    923   3   2   3 1 1 1
    924   4   2   3 1 1 1
    925   5   2   3 1 1 1
    926   6   2   3 1 1 1
    927   7   2   3 1 1 1
    928   8   2   3 1 1 1
    929   9   2   3 1 1 1
    930  10   2   3 1 1 1
    931  11   2   3 1 1 1
    932  12   2   3 1 1 1
    933  13   2   3 1 1 1
    934  14   2   3 1 1 1
    935  15   2   3 1 1 1
    936  16   2   3 1 1 1
    937  17   2   3 1 1 1
    938  18   2   3 1 1 1
    939  19   2   3 1 1 1
    940  20   2   3 1 1 1
    941   1   3   3 1 1 1
    942   2   3   3 1 1 1
    943   3   3   3 1 1 1
    944   4   3   3 1 1 1
    945   5   3   3 1 1 1
    946   6   3   3 1 1 1
    947   7   3   3 1 1 1
    948   8   3   3 1 1 1
    949   9   3   3 1 1 1
    950  10   3   3 1 1 1
    951  11   3   3 1 1 1
    952  12   3   3 1 1 1
    953  13   3   3 1 1 1
    954  14   3   3 1 1 1
    955  15   3   3 1 1 1
    956  16   3   3 1 1 1
    957  17   3   3 1 1 1
    958  18   3   3 1 1 1
    959  19   3   3 1 1 1
    960  20   3   3 1 1 1
    961   1  -1   4 1 1 1
    962   2  -1   4 1 1 1
    963   3  -1   4 1 1 1
    964   4  -1   4 1 1 1
    965   5  -1   4 1 1 1
    966   6  -1   4 1 1 1
    967   7  -1   4 1 1 1
    968   8  -1   4 1 1 1
    969   9  -1   4 1 1 1
    970  10  -1   4 1 1 1
    971  11  -1   4 1 1 1
    972  12  -1   4 1 1 1
    973  13  -1   4 1 1 1
    974  14  -1   4 1 1 1
    975  15  -1   4 1 1 1
    976  16  -1   4 1 1 1
    977  17  -1   4 1 1 1
    978  18  -1   4 1 1 1
    979  19  -1   4 1 1 1
    980  20  -1   4 1 1 1
    981   1   0   4 1 1 1
    982   2   0   4 1 1 1
    983   3   0   4 1 1 1
    984   4   0   4 1 1 1
    985   5   0   4 1 1 1
    986   6   0   4 1 1 1
    987   7   0   4 1 1 1
    988   8   0   4 1 1 1
    989   9   0   4 1 1 1
    990  10   0   4 1 1 1
    991  11   0   4 1 1 1
    992  12   0   4 1 1 1
    993  13   0   4 1 1 1
    994  14   0   4 1 1 1
    995  15   0   4 1 1 1
    996  16   0   4 1 1 1
    997  17   0   4 1 1 1
    998  18   0   4 1 1 1
    999  19   0   4 1 1 1
   1000  20   0   4 1 1 1
   1001   1   1   4 1 1 1
   1002   2   1   4 1 1 1
   1003   3   1   4 1 1 1
   1004   4   1   4 1 1 1
   1005   5   1   4 1 1 1
   1006   6   1   4 1 1 1
   1007   7   1   4 1 1 1
   1008   8   1   4 1 1 1
   1009   9   1   4 1 1 1
   1010  10   1   4 1 1 1
   1011  11   1   4 1 1 1
   1012  12   1   4 1 1 1
   1013  13   1   4 1 1 1
   1014  14   1   4 1 1 1
   1015  15   1   4 1 1 1
   1016  16   1   4 1 1 1
   1017  17   1   4 1 1 1
   1018  18   1   4 1 1 1
   1019  19   1   4 1 1 1
   1020  20   1   4 1 1 1
   1021   1   2   4 1 1 1
   1022   2   2   4 1 1 1
   1023   3   2   4 1 1 1
   1024   4   2   4 1 1 1
   1025   5   2   4 1 1 1
   1026   6   2   4 1 1 1
   1027   7   2   4 1 1 1
   1028   8   2   4 1 1 1
   1029   9   2   4 1 1 1
   1030  10   2   4 1 1 1
   1031  11   2   4 1 1 1
   1032  12   2   4 1 1 1
   1033  13   2   4 1 1 1
   1034  14   2   4 1 1 1
   1035  15   2   4 1 1 1
   1036  16   2   4 1 1 1
   1037  17   2   4 1 1 1
   1038  18   2   4 1 1 1
   1039  19   2   4 1 1 1
   1040  20   2   4 1 1 1
   1041   0  -1  -3 1 1 1
   1042  21  -1  -3 1 1 1
   1043  -1   0  -3 1 1 1
   1044   0   0  -3 1 1 1
   1045  21   0  -3 1 1 1
   1046  22   0  -3 1 1 1
   1047  -1   1  -3 1 1 1
   1048   0   1  -3 1 1 1
   1049  21   1  -3 1 1 1
   1050  22   1  -3 1 1 1
   1051   0   2  -3 1 1 1
   1052  21   2  -3 1 1 1
   1053  -1  -2  -2 1 1 1
   1054   0  -2  -2 1 1 1
   1055  21  -2  -2 1 1 1
   1056  22  -2  -2 1 1 1
   1057  -2  -1  -2 1 1 1
   1058  -1  -1  -2 1 1 1
   1059   0  -1  -2 1 1 1
   1060  21  -1  -2 1 1 1
   1061  22  -1  -2 1 1 1
   1062  23  -1  -2 1 1 1
   1063  -2   0  -2 1 1 1
   1064  -1   0  -2 1 1 1
   1065   0   0  -2 1 1 1
   1066  21   0  -2 1 1 1
   1067  22   0  -2 1 1 1
   1068  23   0  -2 1 1 1
   1069  -2   1  -2 1 1 1
   1070  -1   1  -2 1 1 1
   1071   0   1  -2 1 1 1
   1072  21   1  -2 1 1 1
   1073  22   1  -2 1 1 1
   1074  23   1  -2 1 1 1
   1075  -2   2  -2 1 1 1
   1076  -1   2  -2 1 1 1
   1077   0   2  -2 1 1 1
   1078  21   2  -2 1 1 1
   1079  22   2  -2 1 1 1
   1080  23   2  -2 1 1 1
   1081  -1   3  -2 1 1 1
   1082   0   3  -2 1 1 1
   1083  21   3  -2 1 1 1
   1084  22   3  -2 1 1 1
   1085   0  -3  -1 1 1 1
   1086  21  -3  -1 1 1 1
   1087  -2  -2  -1 1 1 1
   1088  -1  -2  -1 1 1 1
   1089   0  -2  -1 1 1 1
   1090  21  -2  -1 1 1 1
   1091  22  -2  -1 1 1 1
   1092  23  -2  -1 1 1 1
   1093  -2  -1  -1 1 1 1
   1094  -1  -1  -1 1 1 1
   1095   0  -1  -1 1 1 1
   1096  21  -1  -1 1 1 1
   1097  22  -1  -1 1 1 1
   1098  23  -1  -1 1 1 1
   1099  -3   0  -1 1 1 1
   1100  -2   0  -1 1 1 1
   1101  -1   0  -1 1 1 1
   1102   0   0  -1 1 1 1
   1103  21   0  -1 1 1 1
   1104  22   0  -1 1 1 1
   1105  23   0  -1 1 1 1
   1106  24   0  -1 1 1 1
   1107  -3   1  -1 1 1 1
   1108  -2   1  -1 1 1 1
   1109  -1   1  -1 1 1 1
   1110   0   1  -1 1 1 1
   1111  21   1  -1 1 1 1
   1112  22   1  -1 1 1 1
   1113  23   1  -1 1 1 1
   1114  24   1  -1 1 1 1
   1115  -2   2  -1 1 1 1
   1116  -1   2  -1 1 1 1
   1117   0   2  -1 1 1 1
   1118  21   2  -1 1 1 1
   1119  22   2  -1 1 1 1
   1120  23   2  -1 1 1 1
   1121  -2   3  -1 1 1 1
   1122  -1   3  -1 1 1 1
   1123   0   3  -1 1 1 1
   1124  21   3  -1 1 1 1
   1125  22   3  -1 1 1 1
   1126  23   3  -1 1 1 1
   1127   0   4  -1 1 1 1
   1128  21   4  -1 1 1 1
   1129  -1  -3   0 1 1 1
   1130   0  -3   0 1 1 1
   1131  21  -3   0 1 1 1
   1132  22  -3   0 1 1 1
   1133  -2  -2   0 1 1 1
   1134  -1  -2   0 1 1 1
   1135   0  -2   0 1 1 1
   1136  21  -2   0 1 1 1
   1137  22  -2   0 1 1 1
   1138  23  -2   0 1 1 1
   1139  -3  -1   0 1 1 1
   1140  -2  -1   0 1 1 1
   1141  -1  -1   0 1 1 1
   1142   0  -1   0 1 1 1
   1143  21  -1   0 1 1 1
   1144  22  -1   0 1 1 1
   1145  23  -1   0 1 1 1
   1146  24  -1   0 1 1 1
   1147  -3   0   0 1 1 1
   1148  -2   0   0 1 1 1
   1149  -1   0   0 1 1 1
   1150   0   0   0 1 1 1
   1151  21   0   0 1 1 1
   1152  22   0   0 1 1 1
   1153  23   0   0 1 1 1
   1154  24   0   0 1 1 1
   1155  -3   1   0 1 1 1
   1156  -2   1   0 1 1 1
   1157  -1   1   0 1 1 1
   1158   0   1   0 1 1 1
   1159  21   1   0 1 1 1
   1160  22   1   0 1 1 1
   1161  23   1   0 1 1 1
   1162  24   1   0 1 1 1
   1163  -3   2   0 1 1 1
   1164  -2   2   0 1 1 1
   1165  -1   2   0 1 1 1
   1166   0   2   0 1 1 1
   1167  21   2   0 1 1 1
   1168  22   2   0 1 1 1
   1169  23   2   0 1 1 1
   1170  24   2   0 1 1 1
   1171  -2   3   0 1 1 1
   1172  -1   3   0 1 1 1
   1173   0   3   0 1 1 1
   1174  21   3   0 1 1 1
   1175  22   3   0 1 1 1
   1176  23   3   0 1 1 1
   1177  -1   4   0 1 1 1
   1178   0   4   0 1 1 1
   1179  21   4   0 1 1 1
   1180  22   4   0 1 1 1
   1181  -1  -3   1 1 1 1
   1182   0  -3   1 1 1 1
   1183  21  -3   1 1 1 1
   1184  22  -3   1 1 1 1
   1185  -2  -2   1 1 1 1
   1186  -1  -2   1 1 1 1
   1187   0  -2   1 1 1 1
   1188  21  -2   1 1 1 1
   1189  22  -2   1 1 1 1
   1190  23  -2   1 1 1 1
   1191  -3  -1   1 1 1 1
   1192  -2  -1   1 1 1 1
   1193  -1  -1   1 1 1 1
   1194   0  -1   1 1 1 1
   1195  21  -1   1 1 1 1
   1196  22  -1   1 1 1 1
   1197  23  -1   1 1 1 1
   1198  24  -1   1 1 1 1
   1199  -3   0   1 1 1 1
   1200  -2   0   1 1 1 1
   1201  -1   0   1 1 1 1
   1202   0   0   1 1 1 1
   1203  21   0   1 1 1 1
   1204  22   0   1 1 1 1
   1205  23   0   1 1 1 1
   1206  24   0   1 1 1 1
   1207  -3   1   1 1 1 1
   1208  -2   1   1 1 1 1
   1209  -1   1   1 1 1 1
   1210   0   1   1 1 1 1
   1211  21   1   1 1 1 1
   1212  22   1   1 1 1 1
   1213  23   1   1 1 1 1
   1214  24   1   1 1 1 1
   1215  -3   2   1 1 1 1
   1216  -2   2   1 1 1 1
   1217  -1   2   1 1 1 1
   1218   0   2   1 1 1 1
   1219  21   2   1 1 1 1
   1220  22   2   1 1 1 1
   1221  23   2   1 1 1 1
   1222  24   2   1 1 1 1
   1223  -2   3   1 1 1 1
   1224  -1   3   1 1 1 1
   1225   0   3   1 1 1 1
   1226  21   3   1 1 1 1
   1227  22   3   1 1 1 1
   1228  23   3   1 1 1 1
   1229  -1   4   1 1 1 1
   1230   0   4   1 1 1 1
   1231  21   4   1 1 1 1
   1232  22   4   1 1 1 1
   1233   0  -3   2 1 1 1
   1234  21  -3   2 1 1 1
   1235  -2  -2   2 1 1 1
   1236  -1  -2   2 1 1 1
   1237   0  -2   2 1 1 1
   1238  21  -2   2 1 1 1
   1239  22  -2   2 1 1 1
   1240  23  -2   2 1 1 1
   1241  -2  -1   2 1 1 1
   1242  -1  -1   2 1 1 1
   1243   0  -1   2 1 1 1
   1244  21  -1   2 1 1 1
   1245  22  -1   2 1 1 1
   1246  23  -1   2 1 1 1
   1247  -3   0   2 1 1 1
   1248  -2   0   2 1 1 1
   1249  -1   0   2 1 1 1
   1250   0   0   2 1 1 1
   1251  21   0   2 1 1 1
   1252  22   0   2 1 1 1
   1253  23   0   2 1 1 1
   1254  24   0   2 1 1 1
   1255  -3   1   2 1 1 1
   1256  -2   1   2 1 1 1
   1257  -1   1   2 1 1 1
   1258   0   1   2 1 1 1
   1259  21   1   2 1 1 1
   1260  22   1   2 1 1 1
   1261  23   1   2 1 1 1
   1262  24   1   2 1 1 1
   1263  -2   2   2 1 1 1
   1264  -1   2   2 1 1 1
   1265   0   2   2 1 1 1
   1266  21   2   2 1 1 1
   1267  22   2   2 1 1 1
   1268  23   2   2 1 1 1
   1269  -2   3   2 1 1 1
   1270  -1   3   2 1 1 1
   1271   0   3   2 1 1 1
   1272  21   3   2 1 1 1
   1273  22   3   2 1 1 1
   1274  23   3   2 1 1 1
   1275   0   4   2 1 1 1
   1276  21   4   2 1 1 1
   1277  -1  -2   3 1 1 1
   1278   0  -2   3 1 1 1
   1279  21  -2   3 1 1 1
   1280  22  -2   3 1 1 1
   1281  -2  -1   3 1 1 1
   1282  -1  -1   3 1 1 1
   1283   0  -1   3 1 1 1
   1284  21  -1   3 1 1 1
   1285  22  -1   3 1 1 1
   1286  23  -1   3 1 1 1
   1287  -2   0   3 1 1 1
   1288  -1   0   3 1 1 1
   1289   0   0   3 1 1 1
   1290  21   0   3 1 1 1
   1291  22   0   3 1 1 1
   1292  23   0   3 1 1 1
   1293  -2   1   3 1 1 1
   1294  -1   1   3 1 1 1
   1295   0   1   3 1 1 1
   1296  21   1   3 1 1 1
   1297  22   1   3 1 1 1
   1298  23   1   3 1 1 1
   1299  -2   2   3 1 1 1
   1300  -1   2   3 1 1 1
   1301   0   2   3 1 1 1
   1302  21   2   3 1 1 1
   1303  22   2   3 1 1 1
   1304  23   2   3 1 1 1
   1305  -1   3   3 1 1 1
   1306   0   3   3 1 1 1
   1307  21   3   3 1 1 1
   1308  22   3   3 1 1 1
   1309   0  -1   4 1 1 1
   1310  21  -1   4 1 1 1
   1311  -1   0   4 1 1 1
   1312   0   0   4 1 1 1
   1313  21   0   4 1 1 1
   1314  22   0   4 1 1 1
   1315  -1   1   4 1 1 1
   1316   0   1   4 1 1 1
   1317  21   1   4 1 1 1
   1318  22   1   4 1 1 1
   1319   0   2   4 1 1 1
   1320  21   2   4 1 1 1
